date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:01:07	215/215	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Jun%202020%2015:01:08%20GMT	https://advertbot.xyz/robots.txt		(from )
16:01:13	13213/13213	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jun%202020%2012:09:03%20GMT	https://advertbot.xyz/	C:/Users/aykoo/OneDrive/Bureau/Bot%20Protect/advertbot.xyz/index.html	(from )
16:01:14	13213/13213	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jun%202020%2012:09:03%20GMT	https://advertbot.xyz/index.html	C:/Users/aykoo/OneDrive/Bureau/Bot%20Protect/advertbot.xyz/index-2.html	(from https://advertbot.xyz/)
16:01:14	2290/2290	---MCZ	200	added ('OK')	text/css	etag:W/%225ef0ba86-8f2%22	https://advertbot.xyz/main.css	C:/Users/aykoo/OneDrive/Bureau/Bot%20Protect/advertbot.xyz/main.css	(from https://advertbot.xyz/)
16:01:14	883/883	---M-Z	200	added ('OK')	text/css	etag:%22373-5a8acba1f2d80-gzip%22	https://advertbot.xyz/style/base.css	C:/Users/aykoo/OneDrive/Bureau/Bot%20Protect/advertbot.xyz/style/base.css	(from https://advertbot.xyz/)
16:01:15	771/771	---M-Z	200	added ('OK')	text/css	etag:%22303-5a8acba1f2d80-gzip%22	https://advertbot.xyz/style/socialproof.css	C:/Users/aykoo/OneDrive/Bureau/Bot%20Protect/advertbot.xyz/style/socialproof.css	(from https://advertbot.xyz/)
16:01:15	1955/1955	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ef0ba88-7a3%22	https://advertbot.xyz/javascript/socialproof.js	C:/Users/aykoo/OneDrive/Bureau/Bot%20Protect/advertbot.xyz/javascript/socialproof.js	(from https://advertbot.xyz/)
16:01:15	58436/58436	---MCZ	200	added ('OK')	text/css	etag:W/%225ef0ba86-e444%22	https://advertbot.xyz/style/animations/animate.css	C:/Users/aykoo/OneDrive/Bureau/Bot%20Protect/advertbot.xyz/style/animations/animate.css	(from https://advertbot.xyz/)
16:01:20	84775/84775	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ef0ba88-14b27%22	https://advertbot.xyz/gtag/js_id_ua-124251250-1.js	C:/Users/aykoo/OneDrive/Bureau/Bot%20Protect/advertbot.xyz/gtag/js_id_ua-124251250-1.js	(from https://advertbot.xyz/)
16:01:25	84773/84773	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ef0ba88-14b25%22	https://advertbot.xyz/gtag/js_id_aw-834320227.js	C:/Users/aykoo/OneDrive/Bureau/Bot%20Protect/advertbot.xyz/gtag/js_id_aw-834320227.js	(from https://advertbot.xyz/)
16:01:29	5662/5662	---M--	200	added ('OK')	image/png	etag:%225ef0ba86-161e%22	https://advertbot.xyz/attachments/717531143393509428/724102662370623518/buy.png	C:/Users/aykoo/OneDrive/Bureau/Bot%20Protect/advertbot.xyz/attachments/717531143393509428/724102662370623518/buy.png	(from https://advertbot.xyz/)
16:01:29	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%225eeb2f53-4d7%22	https://advertbot.xyz/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/Users/aykoo/OneDrive/Bureau/Bot%20Protect/advertbot.xyz/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://advertbot.xyz/)
16:01:29	260/260	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Jun%202020%2015:01:30%20GMT	https://advertbot.xyz/code.jquery.com/jquery-3.3.1.min.js	C:/Users/aykoo/OneDrive/Bureau/Bot%20Protect/advertbot.xyz/code.jquery.com/jquery-3.3.1.min.js	(from https://advertbot.xyz/)
16:01:29	8415/8415	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ef0ba88-20df%22	https://advertbot.xyz/style/animations/wow.min.js	C:/Users/aykoo/OneDrive/Bureau/Bot%20Protect/advertbot.xyz/style/animations/wow.min.js	(from https://advertbot.xyz/)
16:01:30	260/260	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Jun%202020%2015:01:30%20GMT	https://advertbot.xyz/POST.html	C:/Users/aykoo/OneDrive/Bureau/Bot%20Protect/advertbot.xyz/POST.html	(from https://advertbot.xyz/)
16:01:30	260/260	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Jun%202020%2015:01:31%20GMT	https://advertbot.xyz/Images/bg-lq.png	C:/Users/aykoo/OneDrive/Bureau/Bot%20Protect/advertbot.xyz/Images/bg-lq.png	(from https://advertbot.xyz/main.css)
